img_path,mask_path,dice
crop_train/amos_0507_42_MRI_abdomen_liver.png,crop_train_mask/amos_0507_42_MRI_abdomen_liver.png,0.5454545454545454
crop_train/amos_0595_46_MRI_abdomen_liver.png,crop_train_mask/amos_0595_46_MRI_abdomen_liver.png,0.4
crop_train/amos_0510_168_MRI_abdomen_liver.png,crop_train_mask/amos_0510_168_MRI_abdomen_liver.png,0.30434782608695654
crop_train/amos_0599_37_MRI_abdomen_liver.png,crop_train_mask/amos_0599_37_MRI_abdomen_liver.png,0.34146341463414637
crop_train/amos_0586_224_MRI_abdomen_liver.png,crop_train_mask/amos_0586_224_MRI_abdomen_liver.png,0.37209302325581395
crop_train/amos_0600_63_MRI_abdomen_liver.png,crop_train_mask/amos_0600_63_MRI_abdomen_liver.png,0.3888888888888889
crop_train/amos_0590_276_MRI_abdomen_liver.png,crop_train_mask/amos_0590_276_MRI_abdomen_liver.png,0.5263157894736842
crop_train/amos_0595_47_MRI_abdomen_liver.png,crop_train_mask/amos_0595_47_MRI_abdomen_liver.png,0.4
crop_train/amos_0592_248_MRI_abdomen_liver.png,crop_train_mask/amos_0592_248_MRI_abdomen_liver.png,0.3225806451612903
crop_train/amos_0514_202_MRI_abdomen_liver.png,crop_train_mask/amos_0514_202_MRI_abdomen_liver.png,0.47619047619047616
crop_train/amos_0556_56_MRI_abdomen_liver.png,crop_train_mask/amos_0556_56_MRI_abdomen_liver.png,0.34782608695652173
crop_train/amos_0555_44_MRI_abdomen_liver.png,crop_train_mask/amos_0555_44_MRI_abdomen_liver.png,0.375
crop_train/amos_0584_39_MRI_abdomen_liver.png,crop_train_mask/amos_0584_39_MRI_abdomen_liver.png,0.34782608695652173
crop_train/amos_0546_46_MRI_abdomen_liver.png,crop_train_mask/amos_0546_46_MRI_abdomen_liver.png,0.5161290322580645
crop_train/amos_0578_248_MRI_abdomen_liver.png,crop_train_mask/amos_0578_248_MRI_abdomen_liver.png,0.3157894736842105
crop_train/amos_0545_206_MRI_abdomen_liver.png,crop_train_mask/amos_0545_206_MRI_abdomen_liver.png,0.3829787234042553
crop_train/amos_0510_182_MRI_abdomen_liver.png,crop_train_mask/amos_0510_182_MRI_abdomen_liver.png,0.30434782608695654
crop_train/amos_0507_44_MRI_abdomen_liver.png,crop_train_mask/amos_0507_44_MRI_abdomen_liver.png,0.5333333333333333
crop_train/amos_0540_51_MRI_abdomen_liver.png,crop_train_mask/amos_0540_51_MRI_abdomen_liver.png,0.375
crop_train/amos_0514_208_MRI_abdomen_liver.png,crop_train_mask/amos_0514_208_MRI_abdomen_liver.png,0.42857142857142855
crop_train/amos_0540_68_MRI_abdomen_liver.png,crop_train_mask/amos_0540_68_MRI_abdomen_liver.png,0.34146341463414637
crop_train/amos_0586_178_MRI_abdomen_liver.png,crop_train_mask/amos_0586_178_MRI_abdomen_liver.png,0.30303030303030304
crop_train/amos_0546_47_MRI_abdomen_liver.png,crop_train_mask/amos_0546_47_MRI_abdomen_liver.png,0.6060606060606061
crop_train/amos_0571_46_MRI_abdomen_liver.png,crop_train_mask/amos_0571_46_MRI_abdomen_liver.png,0.4
crop_train/amos_0555_34_MRI_abdomen_liver.png,crop_train_mask/amos_0555_34_MRI_abdomen_liver.png,0.32
crop_train/amos_0595_45_MRI_abdomen_liver.png,crop_train_mask/amos_0595_45_MRI_abdomen_liver.png,0.4117647058823529
crop_train/amos_0517_77_MRI_abdomen_liver.png,crop_train_mask/amos_0517_77_MRI_abdomen_liver.png,0.35294117647058826
crop_train/amos_0586_190_MRI_abdomen_liver.png,crop_train_mask/amos_0586_190_MRI_abdomen_liver.png,0.3333333333333333
crop_train/amos_0571_50_MRI_abdomen_liver.png,crop_train_mask/amos_0571_50_MRI_abdomen_liver.png,0.3181818181818182
